"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
288,"CWS","CWS","2018-04-18",529671,288,100,0.296,0.185,0.341,0.481,0.384,0.427,0.322,16,54,91.9,19.7,2170,89,88.39,31,111,177,-0.5999999999999943,5.94,105,153,114,148,292,301,288,"-4.6","4.6"
283,"BOS","BOS","2018-10-26",563409,283,100,0.18,0.131,0.205,0.311,0.245,0.242,0.171,11,61,88.6,29,2395,91.8,91.33,29,149,134,-0.5,6.06,113,153,116,151,296,322,293,"5.4","-5.4"
280,"AZ","AZ","2018-04-02",529464,280,100,0.311,0.131,0.354,0.443,0.361,0.333,0.277,19,61,87.8,11.1,2059,89.3,88.62,25,121,159,-0.7000000000000028,5.95,109,149,111,153,309,330,304,"0.3","-0.3"
278,"LAD","LAD","2018-10-26",563409,278,100,0.123,0.07,0.162,0.193,0.188,0.222,0.151,7,57,87.7,11.6,2364,91.6,91.22,38,127,151,-0.3999999999999915,6.08,113,154,112,147,295,315,303,"5.1","-5.1"
277,"AZ","AZ","2018-07-08",530757,277,100,0.22,0.085,0.316,0.305,0.275,0.325,0.251,13,59,88.7,7.8,2043,87,85.84,33,114,163,-1.2000000000000028,5.65,108,149,105,152,301,328,303,"4.3","-4.3"
268,"OAK","OAK","2018-04-18",529671,268,100,0.293,0.103,0.348,0.397,0.339,0.367,0.284,17,58,93.4,15.2,2411,88.7,87.87,26,131,137,-0.7999999999999972,6.01,105,148,112,148,299,316,302,"-3.5","3.5"
265,"NYY","NYY","2018-04-06",529509,265,100,0.176,0.235,0.161,0.412,0.313,0.354,0.205,9,51,90.6,12.1,2124,88.4,88.33,42,127,138,-0.10000000000000853,6.32,109,156,118,146,308,323,285,"1","-1"
263,"NYM","NYM","2018-06-02",530271,263,100,0.304,0.107,0.516,0.411,0.344,0.286,0.233,17,56,82.8,14.3,2217,90.3,90.57,46,126,137,0.29999999999999716,6.38,112,148,115,148,291,316,299,"-1.1","1.1"
260,"MIA","MIA","2018-06-14",530433,260,100,0.231,0.154,0.27,0.385,0.307,0.313,0.226,12,52,87.9,15.1,2143,87.1,86.64,33,122,138,-0.5,6.17,104,148,106,146,303,319,300,"0.9","-0.9"
259,"MIA","MIA","2018-03-30",529422,259,100,0.138,0.086,0.189,0.224,0.219,0.326,0.214,8,58,90,16.1,2165,87.4,85.99,35,120,139,-1.4000000000000057,5.67,106,155,112,149,306,327,300,"6.8","-6.8"
259,"CHC","CHC","2018-03-30",529422,259,100,0.197,0,0.255,0.197,0.24,0.262,0.199,12,61,87.2,2.8,2141,89.2,88.11,26,113,146,-1.1000000000000085,5.79,113,154,109,150,306,320,286,"5.6","-5.6"
257,"TB","TB","2018-07-03",530692,257,100,0.254,0.034,0.3,0.288,0.264,0.248,0.218,15,59,85.7,4.9,2338,86.6,85.14,23,119,138,-1.5,5.83,108,151,109,144,300,316,284,"1.4","-1.4"
253,"MIL","MIL","2018-08-24",531336,253,100,0.283,0.067,0.386,0.35,0.302,0.273,0.224,17,60,86.4,12.7,2272,88.6,88.4,38,121,132,-0.19999999999998863,5.98,112,152,108,147,302,309,286,"3","-3"
253,"MIA","MIA","2018-07-03",530692,253,100,0.323,0.113,0.422,0.435,0.364,0.341,0.28,20,62,86.3,13,2166,88.5,88.27,24,116,137,-0.20000000000000284,6.26,104,147,102,148,305,322,297,"-3.2","3.2"
252,"ATL","ATL","2018-06-22",530529,252,100,0.278,0.148,0.31,0.426,0.328,0.358,0.31,15,54,89.8,5.5,2215,88.8,87.69,30,126,126,-1.0999999999999943,5.62,105,153,106,148,307,321,293,"-2.1","2.1"
251,"PIT","PIT","2018-03-30",529417,251,100,0.264,0.132,0.318,0.396,0.34,0.378,0.3,14,53,91,17.4,2192,90.2,89.15,27,110,141,-1.1000000000000085,5.91,110,149,109,149,289,323,297,"-4.8","4.8"
251,"CLE","CLE","2018-05-03",529626,251,100,0.347,0.306,0.438,0.653,0.467,0.378,0.289,17,49,90.4,18.3,2258,88.9,89,34,109,142,0.09999999999999432,6.22,108,158,116,150,298,312,294,"-9.9","9.9"
251,"PHI","PHI","2018-07-24",530922,251,100,0.193,0.158,0.237,0.351,0.252,0.256,0.199,11,57,87.6,22.3,2194,87.6,87.74,41,125,126,0.10000000000000853,6.35,112,162,116,152,297,321,291,"4.7","-4.7"
250,"LAD","LAD","2018-04-02",529464,250,100,0.264,0.208,0.317,0.472,0.364,0.358,0.263,14,53,88,13.7,2238,87.2,87.26,18,109,141,0.09999999999999432,6.34,109,155,127,143,299,324,303,"-2.1","2.1"
249,"PIT","PIT","2018-08-24",531336,249,100,0.241,0.13,0.306,0.37,0.317,0.315,0.214,13,54,89,17.1,2232,91.1,91.15,27,114,135,0,6.19,111,152,113,146,295,325,295,"-0.4","0.4"
248,"BAL","BAL","2018-06-22",530529,248,100,0.25,0.125,0.311,0.375,0.307,0.348,0.263,14,56,90.3,14.6,2181,90.5,89.44,30,125,123,-1.0999999999999943,5.62,111,151,109,150,299,319,285,"-0.7","0.7"
248,"TEX","TEX","2018-07-24",530925,248,100,0.262,0.333,0.259,0.595,0.417,0.406,0.275,11,42,89.8,18.5,2410,89.4,88.87,24,113,135,-0.5,5.92,113,151,114,146,301,327,300,"-8.2","8.2"
248,"SF","SF","2018-04-07",529524,248,100,0.226,0.075,0.262,0.302,0.288,0.308,0.238,12,53,89.6,15.9,2412,89.2,88.19,31,108,140,-1,5.83,110,143,113,147,288,312,287,"3.6","-3.6"
243,"LAD","LAD","2018-04-07",529524,243,100,0.309,0.164,0.429,0.473,0.34,0.314,0.274,17,55,87.1,14.8,2406,87.3,86.17,34,114,129,-1.0999999999999943,6.02,108,150,113,144,292,322,288,"-0.2","0.2"
241,"SD","SD","2018-07-08",530757,241,100,0.193,0.07,0.282,0.263,0.244,0.333,0.264,11,57,91.5,0.3,2308,89,87.13,38,124,117,-1.9000000000000057,5.34,115,152,114,149,300,323,309,"3.9","-3.9"
236,"PIT","PIT","2018-07-06",530726,236,100,0.409,0.25,0.516,0.659,0.497,0.404,0.27,18,44,91.3,13.7,2287,90,90.72,23,100,136,0.7000000000000028,6.59,107,151,112,147,299,318,300,"-11.4","11.4"
233,"CLE","CLE","2018-04-18",529673,233,100,0.22,0.068,0.279,0.288,0.227,0.043,,13,59,,,,,,30,123,110,,,,,,,,,,"4.8","-4.8"
233,"LAD","LAD","2018-07-24",530922,233,100,0.193,0.211,0.216,0.404,0.285,0.296,0.223,11,57,86.7,8.7,2122,87,86.86,36,114,119,-0.09999999999999432,6.25,107,157,114,153,279,323,288,"1.2","-1.2"
231,"HOU","HOU","2018-05-27",530189,231,100,0.26,0.22,0.313,0.48,0.341,0.37,0.292,13,50,86.7,13.7,2415,89.8,89.57,25,127,104,-0.20000000000000284,5.99,109,150,116,152,280,314,287,"-3","3"
230,"CHC","CHC","2018-05-06",529913,230,100,0.213,0.191,0.25,0.404,0.322,0.306,0.203,10,47,85.5,6.3,2266,88,87.96,28,99,131,0,6.26,115,152,108,150,310,330,304,"0.8","-0.8"
229,"LAA","LAA","2018-04-04",529486,229,100,0.156,0,0.226,0.156,0.192,0.243,0.18,7,45,91.3,22.1,2372,88.1,87.53,26,108,121,-0.5999999999999943,6.07,108,154,109,148,309,327,304,"4.5","-4.5"
227,"BOS","BOS","2018-04-03",529472,227,100,0.2,0.044,0.31,0.244,0.233,0.266,0.231,9,45,86.7,14.6,2318,88.9,87.98,35,108,119,-0.9000000000000057,5.94,108,150,118,150,297,316,284,"3.4","-3.4"
